switch_ips,name
dsw3901.cloudsouth.com,CS-D-Access-3901
dsw3902.cloudsouth.com,CS-D-Access-3902
172.20.1.11,CS-Dist-A
172.20.2.12,CS-Dist-B
172.20.4.90,CS-Lake-AV-3800-Distro-C-North
172.31.1.33,CS-Lake-AV-3800-Distro-C-South
172.20.4.80,CS-Lake-AV-3800-Distro-D-North
172.31.2.34,CS-Lake-AV-3800-Distro-D-South
172.31.53.34,CS-Lake-AV-3900-Distro-C-North
172.31.22.33,CS-Lake-AV-3900-Distro-C-South
172.31.51.34,CS-Lake-AV-3900-Distro-D-North
172.31.22.34,CS-Lake-AV-3900-Distro-D-South
172.31.1.50,Lake-AV-1000-bmc
172.31.1.23,Lake-AV-1001
172.31.1.24,Lake-AV-1002
172.31.20.50,Lake-AV-1100-bmc
172.31.20.23,Lake-AV-1101
172.31.20.24,Lake-AV-1102
172.31.2.50,Lake-AV-1200-bmc
172.31.2.23,Lake-AV-1201
172.31.2.24,Lake-AV-1202
172.31.21.50,Lake-AV-1300-bmc
172.31.21.23,Lake-AV-1301
172.31.21.24,Lake-AV-1302
172.31.3.50,Lake-AV-1400-bmc
172.31.3.23,Lake-AV-1401
172.31.3.24,Lake-AV-1402
172.31.22.50,Lake-AV-1500-bmc
172.31.22.23,Lake-AV-1501
172.31.22.24,Lake-AV-1502
172.31.4.50,Lake-AV-1600-bmc
172.31.4.23,Lake-AV-1601
172.31.4.24,Lake-AV-1602
172.31.23.50,Lake-AV-1700-bmc
172.31.23.23,Lake-AV-1701
172.31.23.24,Lake-AV-1702
172.29.6.50,Lake-AV-1800-bmc
154.27.68.123,Lake-AV-1801
154.27.68.124,Lake-AV-1802
172.31.24.50,Lake-AV-1900-bmc
172.31.24.23,Lake-AV-1901
172.31.24.24,Lake-AV-1902
172.31.16.50,Lake-AV-2000-bmc
172.31.16.23,Lake-AV-2001
172.31.16.24,Lake-AV-2002
172.31.25.50,Lake-AV-2100-bmc
172.31.25.23,Lake-AV-2101
172.31.25.24,Lake-AV-2102
172.31.7.50,Lake-AV-2200-bmc
172.31.7.23,Lake-AV-2201
154.27.69.124,Lake-AV-2202
172.31.26.50,Lake-AV-2300-bmc
172.31.26.23,Lake-AV-2301
172.31.26.24,Lake-AV-2302
172.31.8.50,Lake-AV-2400-bmc
172.31.8.23,Lake-AV-2401
172.31.8.24,Lake-AV-2402
172.31.27.50,Lake-AV-2500-bmc
172.31.27.23,Lake-AV-2501
172.31.27.24,Lake-AV-2502
172.31.9.50,Lake-AV-2600-bmc
172.31.9.23,Lake-AV-2601
172.31.9.24,Lake-AV-2602
172.31.28.50,Lake-AV-2700-bmc
172.31.28.23,Lake-AV-2701
172.31.28.24,Lake-AV-2702
172.31.10.50,Lake-AV-2800-bmc
172.31.10.23,Lake-AV-2801
172.31.10.24,Lake-AV-2802
172.31.29.50,Lake-AV-2900-bmc
172.31.29.23,Lake-AV-2901
172.31.29.24,Lake-AV-2902
172.31.11.50,Lake-AV-3000-bmc
172.31.11.23,Lake-AV-3001
172.31.11.24,Lake-AV-3002
172.31.30.50,Lake-AV-3100-bmc
172.31.30.23,Lake-AV-3101
172.31.30.24,Lake-AV-3102
172.31.12.50,Lake-AV-3200-bmc
172.31.12.23,Lake-AV-3201
172.31.12.24,Lake-AV-3202
172.31.31.50,Lake-AV-3300-bmc
172.31.31.23,Lake-AV-3301
172.31.31.24,Lake-AV-3302
172.31.13.50,Lake-AV-3400-bmc
154.27.72.123,Lake-AV-3401
154.27.72.124,Lake-AV-3402
172.31.32.50,Lake-AV-3500-bmc
154.27.79.123,Lake-AV-3501
172.31.32.24,Lake-AV-3502
172.31.114.50,Lake-AV-3600-bmc
172.31.114.23,Lake-AV-3601
172.31.114.24,Lake-AV-3602
172.31.33.50,Lake-AV-3700-bmc
172.31.33.23,Lake-AV-3701
172.31.33.24,Lake-AV-3702
172.31.15.50,Lake-AV-3800-bmc
172.31.15.23,Lake-AV-3801
154.27.73.124,Lake-AV-3802
172.31.34.50,Lake-AV-3900-bmc
172.31.34.23,Lake-AV-3901
172.31.34.24,Lake-AV-3902
172.31.35.50,Lake-AV-4100-bmc
172.31.35.23,Lake-AV-4101
172.31.35.24,Lake-AV-4102
172.31.46.50,Lake-AV-4300-bmc
172.31.46.23,Lake-AV-4301
172.31.46.24,Lake-AV-4302
172.31.47.50,Lake-AV-4500-bmc
172.31.47.23,Lake-AV-4501
172.31.47.24,Lake-AV-4502
172.31.63.50,Lake-AV-4600-bmc
172.31.63.23,Lake-AV-4601
172.31.63.24,Lake-AV-4602
172.31.48.50,Lake-AV-4700-bmc
172.31.48.23,Lake-AV-4701
172.31.48.24,Lake-AV-4702
172.31.64.50,Lake-AV-4800-bmc
172.31.64.23,Lake-AV-4801
172.31.64.24,Lake-AV-4802
172.31.49.50,Lake-AV-4900-bmc
172.31.49.23,Lake-AV-4901
172.31.49.24,Lake-AV-4902
172.31.65.50,Lake-AV-5000-bmc
172.31.65.23,Lake-AV-5001
172.31.65.24,Lake-AV-5002
172.31.50.50,Lake-AV-5100-bmc
172.31.50.23,Lake-AV-5101
172.31.50.24,Lake-AV-5102
172.31.66.50,Lake-AV-5200-bmc
172.31.66.23,Lake-AV-5201
172.31.66.24,Lake-AV-5202
172.31.51.50,Lake-AV-5300-bmc
172.31.51.23,Lake-AV-5301
172.31.51.24,Lake-AV-5302
172.31.67.50,Lake-AV-5400-bmc
172.31.67.23,Lake-AV-5401
172.31.67.24,Lake-AV-5402
172.31.52.50,Lake-AV-5500-bmc
172.31.52.23,Lake-AV-5501
172.31.52.24,Lake-AV-5502
172.31.68.50,Lake-AV-5600-bmc
172.31.68.23,Lake-AV-5601
172.31.68.24,Lake-AV-5602
172.31.53.50,Lake-AV-5700-bmc
172.31.53.23,Lake-AV-5701
172.31.53.24,Lake-AV-5702
172.31.69.50,Lake-AV-5800-bmc
172.31.69.23,Lake-AV-5801
172.31.69.24,Lake-AV-5802
172.31.54.50,Lake-AV-5900-bmc
172.31.54.23,Lake-AV-5901
172.31.54.24,Lake-AV-5902
172.31.60.50,Lake-AV-6000-bmc
172.31.60.23,Lake-AV-6001
172.31.60.24,Lake-AV-6002
38.130.200.161,Shared-Colo-Cabinet
